12.5719444444444,38.8952777777778,CA,Mg,Na,k
13.1147222222222,38.9027777777778,2.40,0.97,2.50,0.80
12.0302777777778,38.8494444444444,278.00,32.23,67.50,5.60
12.4819444444444,39.2163888888889,52.00,26.73,7.50,4.00
12.1869444444444,39.3452777777778,40.00,26.73,4.00,4.60
12.125,39.1080555555556,51.20,26.70,13.60,3.80
12.9541666666667,38.3563888888889,2.40,1.90,4.20,1.20
12.9875,38.3563888888889,0.80,1.00,1.30,0.60
12.0166666666667,38.6166666666667,78.40,34.02,18.50,3.00
12.0666666666667,38.55,17.60,6.80,12.00,5.20
12.1333333333333,38.65,1.60,2.43,1.50,0.40
12.1166666666667,38.4166666666667,24.80,4.86,11.00,1.40
12.2,38.6166666666667,1.60,1.94,1.00,0.00
12.2,38.5,2.40,2.91,2.00,0.60
12.3166666666667,38.7666666666667,23.20,12.63,8.70,2.00
12.2833333333333,38.6166666666667,1.60,1.45,3.00,0.60
12.2666666666667,38.525,35.20,22.35,13.50,3.80
12.2666666666667,38.3666666666667,3.20,5.83,14.80,3.40
12.2166666666667,38.2166666666667,14.40,8.74,6.30,1.20
12.3166666666667,38.3666666666667,104.00,36.45,37.00,7.20
12.2833333333333,38.2166666666667,0.80,0.97,0.80,0.20
12.35,38.3833333333333,63.20,22.35,7.40,4.20
12.3583333333333,38.2333333333333,1.60,0.97,1.00,0.40
12.4,38.75,1.60,2.91,3.40,0.40
12.4,38,60.00,28.67,17.00,10.40
12.4,38.4666666666667,320.00,413.10,562.00,75.50
12.4333333333333,38.3666666666667,3.20,2.90,14.40,2.50
12.3833333333333,38.15,3.20,1.50,1.90,0.25
12.4833333333333,38.6166666666667,160.00,82.60,105.00,14.50
12.4666666666667,38.55,152.00,77.80,110.50,15.50
12.5333333333333,38.7166666666667,14.40,8.70,48.00,8.00
12.5333333333333,38.5666666666667,272.00,104.40,70.40,10.50
12.5166666666667,38.5,360.00,680.40,1166.00,16.00
12.5333333333333,38.3166666666667,400.00,461.70,595.00,51.50
12.6166666666667,33.8166666666667,440.00,473.40,702.00,85.00
12.6,38.5666666666667,146.00,99.63,78.00,16.00
12.6,38.4,11.20,6.31,6.80,18.60
12.6,38.6,11.20,2.91,1.60,0.60
12.6333333333333,38.6166666666667,9.60,2.43,1.40,0.40
12.65,38.4680555555556,8.00,3.40,2.50,0.40
12.65,38.1666666666667,480.00,534.00,734.00,39.00
12.7333333333333,38.7666666666667,140.00,196.26,340.00,24.00
12.6666666666667,38.55,56.00,80.19,116.00,10.40
12.7,38.3166666666667,72.00,38.88,22.40,4.80
12.7833333333333,38.4,14.40,8.74,15.20,1.00
12.8333333333333,38.2666666666667,188.00,262.44,400.00,12.00
12.8666666666667,38.4333333333333,180.00,187.00,340.00,20.00
12,38.3166666666667,208.00,347.49,500.00,10.00
12.0833333333333,38.5,60.00,65.61,300.00,7.00
12.2536111111111,38.9333333333333,128.00,123.93,247.00,16.00
12.2533333333333,38.9333333333333,92.00,607.50,920.00,13.16
