"Latitude","Longitude","CA","MG","Na","K","Cl","So4","HCo3","Co3","No3","RS"
"-12,1261111111111","-40,3286111111111",123,128,318,18.7,995,74.5,162,0,0,0.5
"-12,1786111111111","-40,4025",128,123.93,247,16,900,40,134.2,0,0,1832
"-12,5313888888889","-40,2283333333333",89,120,225,40,869,7.8,84.5,0,1,0
"-12,3222222222222","-39,2916666666667",126,206,412,10.3,796,84.5,549,0,432,0
"-12,0972222222222","-41,575",282,217,155,10,758,454,481,0,0.5,2357
"-12,6416666666667","-40,9416666666667",260,102,140,11.5,745,35.3,323,0,0,0
"-12,2252777777778","-40,7822222222222",272,104.4,70.4,10.5,720,40.4,263.5,0,0,2040
"-12,0944444444444","-40,9888888888889",292,112,126,5.9,674,160,463,0,2.5,0
"-12,3583333333333","-40,8583333333333",14.7,24.3,41.5,11.3,606,360,159,0,0.5,1216
"-12,6055555555556","-40,6916666666667",341,34.5,233,8.1,588,52.5,149,0,0,0
"-12,3247222222222","-40,3925",68.1,80.3,208,34.6,583,20,196,0,0.5,0
"-12,3513888888889","-40,9013888888889",160,82.6,105,14.5,580,28.2,170.8,0,0,1480
"-12,3083333333333","-39,0305555555556",35.3,110,463,2.7,558,151,784,0,33.8,0
"-12,1583333333333","-39,1138888888889",77.4,90,433,13.5,542,89,520,0,284,0
"-13,3","-40,9611111111111",149,92,157,10.8,518,24.8,128,0,275,1354
"-13,2611111111111","-41,0222222222222",260,85,170,7.9,502,260,475,0,7.6,1607
"-12,6466666666667","-40,9325",146,99.63,78,16,500,33.2,122,0,16.5,1160
"-12,6780555555556","-39,2419444444444",56,68,268.4,7.8,500,34.4,317.2,0,0,1233
"-12,0652777777778","-40,9725",152,77.8,110.5,15.5,490,45.2,287.9,0,0,1180
"-12,4683333333333","-39,5569444444444",29.6,39.6,292,24.5,459,16.3,308,0,0.5,1169.5
"-12,5313888888889","-40,0802777777778",56,80.19,116,10.4,450,19.2,122,0,2,940
"-12,1472222222222","-39,3138888888889",48.4,87.2,253,2.8,432,119.5,372,0,3.2,0
"-12,0180555555556","-41,6652777777778",278,32.23,67.5,5.6,430,262,117.12,0,14.5,1530
"-13,1847222222222","-40,9555555555556",120,102.1,54,4.4,430,11.8,226.9,0,8.5,943
"-13,2833333333333","-40,9611111111111",109,78,128,13.4,405,70,182,0,124,1109
"-12,1058333333333","-39,8477777777778",60,65.61,300,7,380,75,549,0,0,1549
"-12,1805555555556","-39,3222222222222",42.5,80.4,354,53,360,73,372,0,460,0
"-12,2036111111111","-38,8705555555556",3.6,13.6,227.5,14.2,360,31.7,43.94,0,0,0
"-12,1869444444444","-39,3452777777778",64,80,205,15,350,34,336.72,0,172.5,1164
"-12,7166666666667","-39,1777777777778",28.2,19,160,5.2,278,38,132,0,0.2,0
"-12,5333333333333","-38,7166666666667",64,38.88,197,40.5,270,5.28,500.2,0,3.2,1000
"-12,5555555555556","-39,4777777777778",10.5,7.1,152,8.3,255,5.8,38.4,0,17.5,0
"-12,7833333333333","-38,4",14,6.31,127.5,11.8,235,11.05,14.64,0,0,0
"-12,5305555555556","-39,4472222222222",17.6,26.9,135,32.2,216,1.8,0,0,239,0
"-12,7722222222222","-39,0333333333333",13.8,25.3,94.3,7,216,12,35.4,0,0.2,0
"-12,3361111111111","-40,9055555555556",12.6,12,129,5.4,214,27.8,53,0,1,0
"-12,5305555555556","-39,4472222222222",4.2,10.7,193,8.6,205,6.8,20.3,0,186,0
"-12,2666666666667","-38,3666666666667",4.8,10.69,101.25,11.8,195,13.45,9.76,0,0,440
"-12,4416666666667","-39,2166666666667",16.5,18.5,140,11.6,191,159,177,0,0.2,0
"-12,8197222222222","-39,9175",72,38.88,22.4,4.8,190,13.2,156.16,0,0,520
"-13,2111111111111","-41,0527777777778",195,80,80,4.2,186,344,490,0,4.3,1383
"-12,2066666666667","-38,9727777777778",4,6.07,94,9.2,161.25,9.12,14.64,0,0,0
"-12,8355555555556","-39,1036111111111",36,41.31,119,1.6,160,51,290.36,14.38,0,722
"-13,2222222222222","-40,9361111111111",227,36.5,74,5.5,158,335,357,0,0.5,1193
"-12,45","-39,2333333333333",9.7,11.6,76.3,9,156,1.9,26.9,0,3.8,0
"-12,0630555555556","-41,0180555555556",64.7,36.7,59.5,6.7,154,22.8,212,0,0.5,0
"-12,875","-39,8555555555556",49.8,26.7,106,13,151,48.3,11.4,0,214,623
"-12,4819444444444","-39,2163888888889",8.8,12.15,45.6,9.1,146,3.9,19.52,0,22,386
"-13,2027777777778","-40,9888888888889",185,28,32.5,7.7,146,94,420,0,15.3,958.5
"-12,9122222222222","-39,3641666666667",36,29.2,95,1.5,145,3.9,266,0,1.5,547
"-12,2027777777778","-38,8658333333333",8,14.58,126,8.5,140,12.8,73.2,0,140,590
"-12,1333333333333","-38,65",5.6,8.6,69.37,15.5,135,12.01,17.08,0,0,338
"-12,3513888888889","-38,9444444444444",44,1.21,210,4.2,130,115,370.8,0,0,850
"-12,9694444444444","-39,2611111111111",14.5,15,89.7,30.6,125,23.6,0,0,147,0
"-12,5730555555556","-41,8180555555556",78.4,34.02,18.5,3,116,4.5,187.88,0,60,583
"-12,0302777777778","-38,8494444444444",7.2,6.8,98,5.9,111,13.4,51.24,0,75,550
