"Amostra","Latitude","Longitude","Elevation","Ca","Mg","Na","Cl","HCo3","Co3","No3","RS"
"CH-01",-14.8758333333333,-39.9013888888889,282.6006,120,141,172,660,268.4,0,0,1771
"CH-03",-14.8533333333333,-39.6611111111111,184,0.8,1.45,4.3,7,6.1,0,1.5,35
"CH-05",-15.5180555555556,-39.1705555555556,104.90039,1.6749,0.97,7.6,13,4.88,0,0,53
"CH-07",-15.3927777777778,-39.0033333333333,39.299805,21.6,2.91,16.3,23,73.2,0,0,203
"CH-10",-14.9661111111111,-39.1644444444444,77,69.6,23.3,30,38,341.6,0,2.5,480
"CH-15",-14.6666666666667,-39.0897222222222,12.200195,18.4,17.01,29.8,78,73.2,0,0,241
"CH-16",-14.5855555555556,-39.2983333333333,92.700195,14.4,9.23,17.9,46,65.88,0,0,174
"CH-19",-15.0272222222222,-39.5780555555556,130.90039,88.02,140,750,320,577.41,0,8.8,2100
"CH-20",-15.2077777777778,-39.5005555555556,201.7998,24.26,22.13,33,20,173.13,0,1.3,281
"CH-21",-14.8272222222222,-39.7313888888889,249,5.6,6.3,91.8,45.1,12.68,0,2.2,196
"CH-22",-14.8452777777778,-39.5416666666667,167.60059,2.3,2.2,13.6,6.7,3.66,0,1.3,49
"CH-23",-14.8772222222222,-39.0275,40.799805,40.84,11.88,30.6,6.9,189.46,0,2.2,317
"CH-25",-14.9591666666667,-39.0647222222222,66.100586,7.5,6.5,44.2,17.6,27.31,0,8.8,117
"CH-26",-14.7566666666667,-39.2544444444444,55.100586,150,83.7,280,340,298.81,0,0.4,1900
"CH-27",-14.3436111111111,-39.1641666666667,33,317,150,260,620,346.89,0,0.4,3120
"CH-29",-15.1111111111111,-40.0138888888889,231.90039,15.86,8.2,64.6,18.6,59.5,0,15.4,158
"CH-30",-15.7255555555556,-39.1563888888889,56.40039,53.6,11.17,42,87,195.2,0,9,352
"CH-31",-14.1,-39.2636111111111,297.7998,12.8,14.58,15.5,66,48.8,0,0,186
"CN-05",-13.2897222222222,-41.6022222222222,574.7002,1.22,0.48,0.6,0.5,7.32,0,0,9
"CN-10",-13.7411111111111,-41.7127777777778,598.6006,223,133.7,202,725,305,0,187.5,2122
"CN-101",-13.9569444444444,-39.3502777777778,326.6006,90,63.2,109,180,405,0,112.5,1005
"CN-103",-15.1155555555556,-41.9488888888889,988.7002,28.8,29.3,51.3,152,136.6,0,2,407
"CN-104",-15.0127777777778,-41.7277777777778,727.7998,5.3,4.1,20.4,17.6,55.77,0,2.2,122
"CN-105",-14.0833333333333,-39.8433333333333,158,7.5,2.7,64.64,20.6,47.06,0,22,272
